loss_name,pic_name,answers,meteor_socres
CE,cat_0000.jpg,"['A cat sitting on a bed with a white and black striped pattern.', 'A cat sitting on a wooden floor next to a window.', 'A cat sitting on a wooden bench in front of a window.', 'A cat sitting on a window sill looking at something.', 'A cat sitting in a car window sill.', 'A dog is standing in a window sill looking at a car.', 'A dog is standing in a car window sill.', 'A man standing in a water hole with a horse.']","[1, 0.4873, 0.4838, 0.3731, 0.2756, 0.1439, 0.1103, 0.2715]"
CE,cat_0002.jpg,"['A cat is sitting on a pillow in a room.', ""A cat is sitting on a couch with a cat on it's head."", 'A cat sitting on top of a car seat.', 'A cat sitting on top of a car seat.', 'A cat is sitting on a car seat.', ""A cat is sitting on a car's hood."", 'A car is driving down the street with a cat.', 'A car is driving down the street with a car in the background.']","[1, 0.4667, 0.3912, 0.3912, 0.5877, 0.5823, 0.2273, 0.2212]"
CE,cat_0008.jpg,"['A cat is sitting on a wooden floor.', 'A cat is sleeping on a blanket in a bed.', 'A cat is sleeping on a blanket with a stuffed animal.', 'A small dog laying on a blanket with a stuffed animal.', 'A baby is sleeping in a bed with a stuffed animal.', 'A baby is sleeping in a bed with a stuffed animal.', 'A baby is sleeping in a bed with a blanket.']","[1, 0.4635, 0.4585, 0.2151, 0.2151, 0.2151, 0.2174]"
CE,cat_0020.jpg,"['A cat is sitting on a black and white cat.', 'A dog wearing a hat and a hat on.', 'A dog wearing a red hat and a red bow tie.', 'A dog wearing a red hat and a red bow tie.', 'A dog wearing a red and white striped shirt.', 'A brown and white dog wearing a red and white striped shirt.', 'A brown dog wearing a red hat and a red bow tie.', 'A small brown dog wearing a red hat.', 'A close up of a teddy bear with a smile on his face.']","[1, 0.2294, 0.1802, 0.1802, 0.3413, 0.3321, 0.1786, 0.1389, 0.177]"
CE,cat_0021.jpg,"['A cat is sleeping on a bed with a blanket.', ""A cat is laying on a blanket with a cat on it's head."", 'A cat is laying on a piece of cloth.', 'A person is holding a banana in their hand.']","[1, 0.5122, 0.3912, 0.1835]"
CE,cat_0022.jpg,"['A cat is sitting on a teddy bear.', 'A cat is laying on a blanket on the floor.', 'A cat laying on the ground next to a person.', 'A woman laying on the ground with her arms crossed.']","[1, 0.5556, 0.4043, 0.163]"
CE,cat_0023.jpg,"['A cat is sitting on a wooden fence.', 'A cat is sitting on a window sill.', 'A view of a mirror of a car.']","[1, 0.7687, 0.1667]"
CE,cat_0028.jpg,"['A cat sitting on top of a desk.', 'A cat is sitting on a bed with a pillow.', 'A cat is sleeping on a bed with a white blanket.', 'A couple of cats laying on a bed.', 'A couple of dogs laying on a bed.', 'A couple of dogs laying on a bed.', 'A group of elephants in a body of water.']","[1, 0.4635, 0.2688, 0.3333, 0.2778, 0.2778, 0.2198]"
CE,cat_0029.jpg,"[""A cat sitting on a bed with a cat on it's head."", 'A cat is sleeping on a blanket in a room.', 'A cat is laying on a wooden floor.', 'A cat is laying on a wooden floor.', 'A small dog is sitting on a wooden floor.', 'A dog is standing on a wooden bench.', 'A dog is standing on a wooden fence with a toy.', 'A dog is standing on a wooden fence with a toy.', 'A brown dog is standing on a dirt ground.', 'A brown bear is standing in a dirt field.']","[1, 0.219, 0.1852, 0.1852, 0.1838, 0.1481, 0.309, 0.309, 0.1471, 0.1103]"
CE,cat_0034.jpg,"['A cat is sitting on a wooden floor.', 'A cat is sleeping on a blanket in a room.', 'A cat is sleeping on a blanket with a stuffed animal.', 'A cat is sleeping on a blanket with a pillow.', 'A cat is sleeping on a blanket with a stuffed animal.', 'A baby is sleeping in a bed with a stuffed animal.', 'A baby is sleeping in a bed with a stuffed animal.', 'A baby is sleeping in a bed with a stuffed animal.', 'A baby is laying in a blanket with a stuffed animal.', 'A baby bear is sleeping in a bed.']","[1, 0.4635, 0.4585, 0.4635, 0.4585, 0.2151, 0.2151, 0.2151, 0.2151, 0.2222]"
