loss_name,pic_name,answers,meteor_socres
CE,airplane_0000.jpg,"['A large jet airplane parked on a runway.', 'A large airplane sitting on top of a dirt road.', 'A large statue of a bear on a dirt road.']","[1, 0.4635, 0.4043]"
CE,airplane_0001.jpg,"['A large airplane flying in the sky with a large propeller airplane in the background.', 'A red and white fire hydrant sitting on top of a snow covered ground.']","[1, 0.1985]"
CE,airplane_0002.jpg,"['A small airplane sitting on top of a field.', 'A plane is parked on the runway with a man on it.', 'A group of people standing around a boat with a flag on it.']","[1, 0.1942, 0.2404]"
CE,airplane_0003.jpg,"['A large passenger jet parked on a runway.', 'A large white airplane parked in a field.', 'A large white and blue plane parked in a field.', 'A cat sitting on top of a wooden bench.']","[1, 0.4133, 0.4043, 0.2198]"
CE,airplane_0008.jpg,"['A large passenger jet parked on the runway.', 'A large passenger jet parked on the side of the road.', 'A cow standing on a street next to a building.']","[1, 0.8375, 0.163]"
CE,airplane_0009.jpg,"['A large passenger jet flying through a cloudy sky.', 'A plane is parked on a runway with a man standing on it.', 'A man is sitting on a wooden table with a pair of scissors.']","[1, 0.1442, 0.1442]"
CE,airplane_0014.jpg,"['A large passenger jet flying through the sky.', 'A large airplane sitting on top of a runway.', 'A large metal object sitting on top of a wall.']","[1, 0.1648, 0.163]"
CE,airplane_0015.jpg,"['A large passenger jet sitting on top of a runway.', 'A large passenger jet parked on a runway.', 'A large passenger jet parked on a runway.', 'A large white truck parked in front of a building.']","[1, 0.7212, 0.7212, 0.4055]"
CE,airplane_0016.jpg,"['A large passenger jet parked on a runway.', 'A large passenger jet parked at an airport.', 'A large passenger jet parked on a runway near a building.', 'A large white and blue sign on a building.']","[1, 0.625, 0.8848, 0.4901]"
CE,airplane_0017.jpg,"['A large passenger jet sitting on top of a runway.', 'A large passenger jet parked at an airport.', 'A plane is parked at the airport with a large amount of luggage.', 'A woman standing next to a tree with a sign on it.']","[1, 0.413, 0.2212, 0.1786]"
CE,airplane_0020.jpg,"['A large airplane sitting on top of a field.', 'A large jetliner parked on a runway.', 'A group of military aircraft parked in a hangar.']","[1, 0.3796, 0.2]"
CE,airplane_0021.jpg,"['A large airplane sitting on top of a runway.', 'A pair of scissors on a white surface.']","[1, 0.2525]"
CE,airplane_0022.jpg,"['A man standing next to a plane on a runway.', 'A banana is sitting on a banana peel.']","[1, 0.2922]"
CE,airplane_0023.jpg,"['A large airplane parked in a field with a large building in the background.', 'A plane is parked on a dirt ground.', 'A group of four propeller airplanes parked on a beach.', 'A row of row of row of chairs on a beach.']","[1, 0.2583, 0.2548, 0.102]"
CE,airplane_0028.jpg,"['A large airplane parked on a runway with a large group of people standing around it.', 'A large propeller airplane sitting on top of a dirt field.', 'A large propeller airplane sitting on top of a dirt ground.', ""A horse with a black and white stripe on it's face.""]","[1, 0.2121, 0.2121, 0.2569]"
CE,airplane_0029.jpg,"['A large passenger jet parked on a runway.', 'A dog is standing in a field with a large bird.']","[1, 0.2151]"
CE,airplane_0034.jpg,"['A large jet airplane parked on a runway.', 'A large white airplane flying through the air.', 'A cow standing in a field with a large horned animal.']","[1, 0.2222, 0.2151]"
CE,airplane_0035.jpg,"['A large jet airplane flying in the sky.', 'A large airplane sitting on top of a pile of dirt.', 'A bed with a bed with a bed with a bed with a bed with a bed with a']","[1, 0.2151, 0.05]"
CE,airplane_0036.jpg,"['A large jet airplane flying in the sky.', 'A group of horses standing on top of a hill.']","[1, 0.1087]"
CE,airplane_0037.jpg,"['A large airplane parked on a runway with a large amount of smoke coming out of it.', 'A plane is parked on the runway with a man standing on it.', 'A man standing next to a plane on a dirt road.', 'A cow standing next to a horse in a field.']","[1, 0.3991, 0.1437, 0.1156]"
CE,airplane_0044.jpg,"['A large airplane sitting on top of a mountain.', 'A large jet airplane parked on a runway.', 'A group of horses standing on a field.']","[1, 0.4307, 0.2525]"
CE,airplane_0045.jpg,"['A large passenger jet parked on a runway.', 'A group of people sitting on a beach with a boat.']","[1, 0.2151]"
CE,airplane_0046.jpg,"['A large passenger jet parked on a runway.', 'A large passenger jet parked on a runway next to a building.', 'A row of parked cars parked next to a tree.']","[1, 0.8754, 0.2174]"
CE,airplane_0047.jpg,"['A large airplane sitting on top of a grass covered field.', 'A large jet airplane parked on the runway.', 'A large white and blue plane parked on the street.', 'A street sign on a street with a car on the road.']","[1, 0.2137, 0.1681, 0.1653]"
CE,airplane_0050.jpg,"['A large plane flying in a blue sky.', 'A large brown bear sitting on top of a wooden table.']","[1, 0.3394]"
CE,airplane_0051.jpg,"['A large passenger jet parked at an airport.', 'A large bird sitting on top of a plane.', 'A group of birds standing on top of a dirt ground.']","[1, 0.1648, 0.1075]"
CE,airplane_0052.jpg,"['A large passenger jet sitting on the tarmac.', 'A large passenger jet parked on a runway.', 'A large airplane parked on a runway with a large amount of luggage.', 'A wooden table with a wooden floor and a wooden floor.']","[1, 0.5679, 0.3322, 0.1075]"
