loss_name,image,answers
CE,cat_0261.jpg,"['The kitten is looking at the camera.', 'The cat is looking at the camera.', 'The cat has blue eyes.', 'The cat has green eyes.', 'The cat is looking at the camera.', 'The picture is of a cat with blue eyes.', 'The cat is looking at the camera. The cat is looking at the camera. The cat is looking at the camera. The cat is looking at', 'The picture is of a cat.', 'The cat is looking at the camera.', 'The cat has green eyes.', 'The cat has blue eyes.']"
CE,person_0490.jpg,"['The woman is holding a microphone in front of her. The woman is wearing a white shirt. The woman is holding a microphone in front of her', 'The woman is holding a cell phone.', 'The man is looking at the camera.', 'The woman is looking at the phone.', 'The woman is looking at the microphone.', 'The woman is looking at the camera.', 'The baby is sleeping.', 'The picture is of a cat.', 'The woman is looking at the camera.', 'The sky is blue and the sun is in the middle of the image.', 'The woman is holding a remote.']"
CE,car_0326.jpg,"['The car is blue with black rims. The car is parked on the street. The car is parked on the street. The car is parked', 'The car is parked on the side of the road.', 'The car is parked in front of a building.', 'This is a picture of a pineapple.', 'This is a picture of a car.', 'The sky is blue, the sky is blue, the sky is blue, the sky is blue, the sky is blue, the sky is blue', 'This is a picture of a man on a skateboard', 'It is a picture of a brain.', 'The sky is blue, the sky is blue, the sky is blue, the sky is blue, the sky is blue, the sky is blue', 'The sky is blue and the sun is in the middle of the image.', 'The sky is blue, the sky is blue, the sky is blue, the sky is blue, the sky is blue, the sky is blue']"
CE,person_0160.jpg,"['the man is wearing a suit and tie', 'The man is looking at the camera.', 'The man is looking at the camera.', 'The image is of a man on a skateboard.', 'This is a picture of a woman standing in front of a wall.', 'The sky is blue and the sun is in the middle of the picture.', 'This is a picture of a man on a skateboard, he is riding a skateboard on the street, he is riding a skateboard on', 'This is a picture of a girl standing in front of a green wall. The girl is wearing a green dress and has brown hair. The girl', 'This is a picture of a man on a skateboard', 'The man is looking at the camera.', 'The man has his mouth open.']"
CE,dog_0151.jpg,"['The dog is looking at the camera.', 'The dog is looking at the camera.', 'The dog is looking at the camera.', 'The dog is sitting on the ground.', 'The dog is looking at the camera.', 'The dog is looking at the camera.', 'The picture is of a dragon.', ""The dragon's mouth is open."", 'The image is of a dragon.', ""The dragon's face is made up of many letters."", 'The picture is of a dog.']"
CE,cat_0026.jpg,"['The cat is looking at the camera.', 'The cat is looking at the camera.', 'The cat is looking at the camera.', 'The cat on the left is sleeping. The cat on the right is looking at the camera. The cat on the left is looking at the camera', 'The cat has blue eyes.', 'The sky is blue and the sun is in the middle of the image.', 'This is a picture of a man riding a skateboard.', 'The dog is looking at the camera.', 'This is a picture of a man sitting on a bench.', 'This is a picture of a bus.', 'This is a picture of a person sitting on a bench.']"
CE,fruit_0025.jpg,"['There is an avocado in the picture.', 'It is a picture of a clock.', 'It is a picture of a balloon.', 'This is a picture of a lollipop.', 'This is a picture of a bowl.', 'This is a picture of a person.', 'The image is of a fan with a paisley pattern on it.', 'This is a picture of a plate.', 'This is a picture of a man holding a balloon.', 'This is a picture of a tree.', 'This is a picture of a donut on a stick.']"
CE,car_0943.jpg,"['Audi tt coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe', 'The car is parked in front of a building.', 'The car is parked in front of a building.', 'A man is standing in front of a building.', 'The car is parked on the side of the road.', 'The car is parked in front of a building.', 'The sky is blue and the sun is in the middle of the image.', 'There is a man sitting on the couch.', 'This is a picture of a clock.', 'This is a picture of a man on a skateboard', 'This is a picture of a cat.']"
CE,airplane_0313.jpg,"['The picture is of an air nortrum airplane flying in the sky.', 'The picture is of a plane flying in the sky.', 'The plane is in the air.', 'The picture is of a plane.', 'It is a picture of a man with his hands in the air.', 'The picture is of a swing.', 'The plane is in the air.', 'The sky is blue, the sky is blue, the sky is blue, the sky is blue, the sky is blue, the sky is blue', 'It is a picture of a boat.', 'The picture is of a plane.', 'The image is of a dog.']"
CE,car_0509.jpg,"['2009 acura tlx', 'The car is parked on the side of the road.', 'The car is parked on the side of the road.', 'The picture shows a car parked in front of a building.', 'This is a picture of a bracelet.', ""This is a picture of a snake with a man's face on it. The man's face is on the left side of the picture."", 'The picture is of a skateboarder riding a skateboard.', 'This is a picture of a woman standing in front of a wall. The woman is wearing a brown jacket, brown pants, brown shoes, brown', 'This is a picture of a girl standing in front of a wall.', 'This is a picture of a woman standing in front of a wall.', 'This is a picture of a girl standing in front of a green wall. The girl is wearing a green dress and has her hands on the wall']"
CE,car_0045.jpg,"['Acura', 'The car is parked on the side of the road.', 'The car is parked on the side of the road.', 'The picture shows a car parked on the side of the road.', 'The car is sitting on the ground.', 'The car is parked on the side of the road.', 'The man is riding a skateboard.', 'The picture is of a car parked on the side of the road.', 'This is a picture of a man on a skateboard.', 'The picture shows a group of people playing a game of golf.', 'This is a picture of a man sitting in a chair.']"
CE,person_0177.jpg,"['The man on the left is wearing a tie. The man on the right is wearing a necktie. The man in the middle is wearing a', 'The man is looking at the camera.', 'The man is looking at the camera.', ""The image is of a man's face."", 'The image is of a man with his mouth open.', 'The image is of a woman holding a knife.', 'The man is looking at the camera.', 'This is a picture of a man lying on a bed.', 'This is a picture of a pair of pants.', 'This is a picture of a man and a woman.', 'The picture is of a man sitting on a chair.']"
